Countries,CreditLifeCoverage
DZA,0
AGO,0
ARG,0
BLZ,0
BEN,43356
BOL,488177
BWA,0
BRA,500
BFA,178350
BDI,0
CMR,904
CPV,0
CAF,0
TCD,0
CHL,0
COL,968827
COM,0
COG,0
CRI,0
CIV,15747
COD,0
DJI,0
DOM,49643
ECU,1235541
EGY,203327
SLV,63513
GNQ,0
ERI,0
ETH,2138166
GAB,0
GMB,0
GHA,523259
GTM,20294
GIN,0
GNB,0
HTI,58773
HND,10233
JAM,0
KEN,942677
LSO,0
LBR,0
LBY,0
MDG,17260
MWI,249674
MLI,62912
MRT,0
MUS,78150
MEX,8770320
MAR,0
MOZ,53536
NAM,0
NIC,78256
NER,0
NGA,1300
PAN,10069
PRY,7
PER,4094708
RWA,6000
SEN,134803
SYC,0
SLE,1210
ZAF,3554280
SDN,695
SWZ,35000
TGO,183367
TUN,196000
UGA,7411
TZA,118696
VEN,1200
ZMB,118000
ZWE,0
