Countries,TotalCoverage
AGO,0.00
CAF,0.00
CPV,0.00
CRI,0.00
DJI,0.00
ERI,0.00
GAB,0.00
GNB,0.00
GNQ,0.00
LBR,0.00
LSO,0.00
SYC,0.00
TCD,0.00
LBY,15.00
NER,250.00
BLZ,540.00
VEN,1200.00
SLE,1210.00
DZA,2036.00
MRT,5623.00
GMB,8700.00
RWA,13000.00
MDG,17260.00
COM,19428.00
MAR,20000.00
BWA,23657.00
COG,31703.00
GIN,32221.00
HND,50693.00
PRY,53505.00
MOZ,53536.00
PAN,63569.00
HTI,71773.00
CIV,74363.00
MUS,78150.00
BDI,91920.00
MLI,111562.00
NIC,120904.00
ZMB,121000.00
SWZ,127000.00
SLV,129377.00
SDN,141195.00
TGO,185170.00
TUN,196000.00
BEN,200506.00
EGY,203327.00
COD,208425.00
BFA,215137.00
MWI,249674.00
DOM,253760.00
CMR,330062.00
CHL,496000.00
JAM,566000.00
GTM,575658.00
BOL,718117.00
SEN,744045.00
NGA,1079789.00
NAM,1275109.00
KEN,1292286.00
ARG,1356247.00
ZWE,1380793.00
UGA,1527724.00
GHA,1706449.00
ETH,2154049.00
ECU,2637315.00
TZA,3278372.00
PER,5283286.00
COL,7976751.00
BRA,10447500.00
MEX,14731412.00
ZAF,27232642.00
